Algorithm,Group,Config,Run,SSE,Silhouette
GA,PopSize,pop=100,5,81.85445155842385,0.8041964077943253
GA,PopSize,pop=100,6,80.8676708656609,0.8041964077943253
GA,PopSize,pop=100,7,81.17630027976368,0.8041964077943253
GA,PopSize,pop=100,8,80.59685644062216,0.8041964077943253
GA,PopSize,pop=100,9,81.36324377373384,0.8041964077943253
PSO,PopSize,pop=20,0,446.92451306548173,-1.0
PSO,PopSize,pop=20,1,136.25871355313325,0.8041964077943253
PSO,PopSize,pop=20,2,238.8002770322532,0.8041964077943253
PSO,PopSize,pop=20,3,101.61814825911455,0.8041964077943253
PSO,PopSize,pop=20,4,141.03175017667542,0.8041964077943253
PSO,PopSize,pop=20,5,486.50045052005,0.542408458424158
PSO,PopSize,pop=20,6,271.4786760816416,0.8041964077943253
PSO,PopSize,pop=20,7,105.90967464574797,0.8041964077943253
PSO,PopSize,pop=20,8,501.4052425299567,0.5060292749891896
PSO,PopSize,pop=20,9,160.55739835094312,0.8041964077943253
PSO,PopSize,pop=50,0,80.79346263266599,0.8041964077943253
PSO,PopSize,pop=50,1,80.54754818253733,0.8041964077943253
PSO,PopSize,pop=50,2,103.45380082122159,0.8041964077943253
PSO,PopSize,pop=50,3,89.0951613759361,0.8041964077943253
PSO,PopSize,pop=50,4,236.0831594550088,0.8041964077943253
PSO,PopSize,pop=50,5,102.58394875397491,0.8041964077943253
PSO,PopSize,pop=50,6,445.1023696768455,-1.0
PSO,PopSize,pop=50,7,81.33095328148339,0.8041964077943253
PSO,PopSize,pop=50,8,84.40758603390313,0.8041964077943253
PSO,PopSize,pop=50,9,118.2015167758293,0.8041964077943253
PSO,PopSize,pop=100,0,133.7223258851481,0.8041964077943253
PSO,PopSize,pop=100,1,79.30122049208111,0.8041964077943253
PSO,PopSize,pop=100,2,79.30009107338392,0.8041964077943253
PSO,PopSize,pop=100,3,79.32535775120282,0.8041964077943253
PSO,PopSize,pop=100,4,79.29639333806034,0.8041964077943253
PSO,PopSize,pop=100,5,135.8925822527478,0.8041964077943253
PSO,PopSize,pop=100,6,445.0971526907555,-1.0
PSO,PopSize,pop=100,7,79.32463791278494,0.8041964077943253
PSO,PopSize,pop=100,8,79.2960953981028,0.8041964077943253
PSO,PopSize,pop=100,9,445.09684605633305,-1.0
DE,PopSize,pop=20,0,162.95444882611613,0.8041964077943253
DE,PopSize,pop=20,1,111.82746678628317,0.8041964077943253
DE,PopSize,pop=20,2,138.29418970678944,0.8041964077943253
DE,PopSize,pop=20,3,124.26867653568402,0.8041964077943253
DE,PopSize,pop=20,4,166.16118980853935,0.8041964077943253
DE,PopSize,pop=20,5,333.9773664522678,0.8041964077943253
DE,PopSize,pop=20,6,216.86944066837907,0.8041964077943253
DE,PopSize,pop=20,7,222.21249251473523,0.8041964077943253
DE,PopSize,pop=20,8,111.08903896330617,0.8041964077943253
DE,PopSize,pop=20,9,186.95499638978353,0.8041964077943253
DE,PopSize,pop=50,0,249.59903680520574,0.8041964077943253
DE,PopSize,pop=50,1,146.11363376962012,0.8041964077943253
DE,PopSize,pop=50,2,313.46695923176696,0.8041964077943253
DE,PopSize,pop=50,3,201.99875289598555,0.8041964077943253
DE,PopSize,pop=50,4,315.21604890577646,0.8041964077943253
DE,PopSize,pop=50,5,279.97613491637276,0.8041964077943253
DE,PopSize,pop=50,6,274.4997492238632,0.8041964077943253
DE,PopSize,pop=50,7,340.3218432391997,0.8041964077943253
DE,PopSize,pop=50,8,279.56204980073323,0.8041964077943253
DE,PopSize,pop=50,9,420.54341291295987,0.8041964077943253
DE,PopSize,pop=100,0,263.9159079245171,0.8041964077943253
DE,PopSize,pop=100,1,277.064904938464,0.8041964077943253
DE,PopSize,pop=100,2,244.6414547561873,0.8041964077943253
DE,PopSize,pop=100,3,363.1766410437226,0.8041964077943253
DE,PopSize,pop=100,4,331.76692347217687,0.8041964077943253
DE,PopSize,pop=100,5,305.58562542856,0.8041964077943253
DE,PopSize,pop=100,6,311.5844365618701,0.8041964077943253
DE,PopSize,pop=100,7,247.16266224762862,0.8041964077943253
DE,PopSize,pop=100,8,367.9160585160482,0.8041964077943253
DE,PopSize,pop=100,9,334.7894257399669,0.8041964077943253
ABC,PopSize,pop=20,0,88.76743268601132,0.8041964077943253
ABC,PopSize,pop=20,1,81.87429872592205,0.8041964077943253
ABC,PopSize,pop=20,2,97.2644165423537,0.8041964077943253
ABC,PopSize,pop=20,3,81.92199469261746,0.8041964077943253
ABC,PopSize,pop=20,4,106.2903968002981,0.8041964077943253
ABC,PopSize,pop=20,5,100.28006193375705,0.8041964077943253
ABC,PopSize,pop=20,6,86.32753724060663,0.8041964077943253
ABC,PopSize,pop=20,7,99.52059976166879,0.8041964077943253
ABC,PopSize,pop=20,8,82.7424548604765,0.8041964077943253
ABC,PopSize,pop=20,9,95.10674504414698,0.8041964077943253
ABC,PopSize,pop=50,0,81.56955524017597,0.8041964077943253
ABC,PopSize,pop=50,1,84.95126601145355,0.8041964077943253
ABC,PopSize,pop=50,2,84.33857567396416,0.8041964077943253
ABC,PopSize,pop=50,3,82.30164449454875,0.8041964077943253
ABC,PopSize,pop=50,4,82.56485580830329,0.8041964077943253
ABC,PopSize,pop=50,5,86.82287380296339,0.8041964077943253
ABC,PopSize,pop=50,6,83.63884191255092,0.8041964077943253
ABC,PopSize,pop=50,7,83.73908499521951,0.8041964077943253
ABC,PopSize,pop=50,8,99.04009065627811,0.8041964077943253
ABC,PopSize,pop=50,9,82.12496791261646,0.8041964077943253
ABC,PopSize,pop=100,0,81.45356857209637,0.8041964077943253
ABC,PopSize,pop=100,1,82.1076003984038,0.8041964077943253
ABC,PopSize,pop=100,2,81.04581342148734,0.8041964077943253
ABC,PopSize,pop=100,3,81.01271705310333,0.8041964077943253
ABC,PopSize,pop=100,4,81.68526491130535,0.8041964077943253
ABC,PopSize,pop=100,5,82.92312447490899,0.8041964077943253
ABC,PopSize,pop=100,6,81.26258140216639,0.8041964077943253
ABC,PopSize,pop=100,7,79.61674459038103,0.8041964077943253
ABC,PopSize,pop=100,8,81.12961664123512,0.8041964077943253
ABC,PopSize,pop=100,9,81.00694123031539,0.8041964077943253
ES,PopSize,pop=20,0,175.77843105194512,0.8041964077943253
ES,PopSize,pop=20,1,148.57273816969783,0.8041964077943253
ES,PopSize,pop=20,2,147.42011658977808,0.8041964077943253
ES,PopSize,pop=20,3,165.38780033693922,0.8041964077943253
ES,PopSize,pop=20,4,149.59586309404955,0.8041964077943253
ES,PopSize,pop=20,5,146.40497178266057,0.8041964077943253
ES,PopSize,pop=20,6,184.41482471851813,0.8041964077943253
ES,PopSize,pop=20,7,140.44154225230687,0.8041964077943253
ES,PopSize,pop=20,8,158.42104891004706,0.8041964077943253
ES,PopSize,pop=20,9,164.86215855921807,0.8041964077943253
ES,PopSize,pop=50,0,149.36021979869685,0.8041964077943253
ES,PopSize,pop=50,1,147.59973478440392,0.8041964077943253
ES,PopSize,pop=50,2,152.7738886338955,0.8041964077943253
ES,PopSize,pop=50,3,159.03166876709935,0.8041964077943253
ES,PopSize,pop=50,4,135.15171678111548,0.8041964077943253
ES,PopSize,pop=50,5,145.8936601398775,0.8041964077943253
ES,PopSize,pop=50,6,164.27081643496638,0.8041964077943253
ES,PopSize,pop=50,7,161.49143312454902,0.8041964077943253
ES,PopSize,pop=50,8,154.42166554914462,0.8041964077943253
ES,PopSize,pop=50,9,134.67132801213756,0.8041964077943253
ES,PopSize,pop=100,0,131.64973876826804,0.8041964077943253
ES,PopSize,pop=100,1,139.27163108781892,0.8041964077943253
ES,PopSize,pop=100,2,128.62343671455517,0.8041964077943253
ES,PopSize,pop=100,3,148.15853146369105,0.8041964077943253
ES,PopSize,pop=100,4,132.295923682673,0.8041964077943253
ES,PopSize,pop=100,5,144.0047605002004,0.8041964077943253
ES,PopSize,pop=100,6,153.33645556442247,0.8041964077943253
ES,PopSize,pop=100,7,121.25104007202009,0.8041964077943253
ES,PopSize,pop=100,8,122.98077082568673,0.8041964077943253
ES,PopSize,pop=100,9,145.80268952214163,0.8041964077943253
GA,Iter,iter=50,0,83.24748406789371,0.8041964077943253
GA,Iter,iter=50,1,88.67736280498148,0.8041964077943253
GA,Iter,iter=50,2,92.60350883341604,0.8041964077943253
GA,Iter,iter=50,3,88.99427636337427,0.8041964077943253
GA,Iter,iter=50,4,92.56020682860002,0.8041964077943253
GA,Iter,iter=50,5,83.85621650440504,0.8041964077943253
GA,Iter,iter=50,6,83.78639931362957,0.8041964077943253
GA,Iter,iter=50,7,88.43684737035085,0.8041964077943253
GA,Iter,iter=50,8,84.30699986122501,0.8041964077943253
GA,Iter,iter=50,9,85.35716197266632,0.8041964077943253
GA,Iter,iter=100,0,81.05259422965744,0.8041964077943253
GA,Iter,iter=100,1,81.53633400396274,0.8041964077943253
GA,Iter,iter=100,2,82.42164349601094,0.8041964077943253
GA,Iter,iter=100,3,82.33842671029095,0.8041964077943253
GA,Iter,iter=100,4,82.25245590677702,0.8041964077943253
GA,Iter,iter=100,5,80.76231746310222,0.8041964077943253
GA,Iter,iter=100,6,81.7868805870499,0.8041964077943253
GA,Iter,iter=100,7,81.45513767293596,0.8041964077943253
GA,Iter,iter=100,8,81.60526315583411,0.8041964077943253
GA,Iter,iter=100,9,81.36715773462817,0.8041964077943253
GA,Iter,iter=200,0,80.04411568246104,0.8041964077943253
GA,Iter,iter=200,1,79.80295818042637,0.8041964077943253
GA,Iter,iter=200,2,80.42128513038085,0.8041964077943253
GA,Iter,iter=200,3,80.36504472843164,0.8041964077943253
GA,Iter,iter=200,4,79.9262681506942,0.8041964077943253
GA,Iter,iter=200,5,79.74199207731614,0.8041964077943253
GA,Iter,iter=200,6,79.8596506013892,0.8041964077943253
GA,Iter,iter=200,7,80.09232822723966,0.8041964077943253
GA,Iter,iter=200,8,79.91455569920166,0.8041964077943253
GA,Iter,iter=200,9,79.95316286108506,0.8041964077943253
PSO,Iter,iter=50,0,82.6926599641807,0.8041964077943253
PSO,Iter,iter=50,1,83.61897418616866,0.8041964077943253
PSO,Iter,iter=50,2,114.7017803919267,0.8041964077943253
PSO,Iter,iter=50,3,93.81060697886676,0.8041964077943253
PSO,Iter,iter=50,4,240.00014948219993,0.8041964077943253
PSO,Iter,iter=50,5,106.51963487226664,0.8041964077943253
PSO,Iter,iter=50,6,445.3333647086581,-1.0
PSO,Iter,iter=50,7,87.26203965443467,0.8041964077943253
PSO,Iter,iter=50,8,89.58385504494552,0.8041964077943253
PSO,Iter,iter=50,9,119.22098306363098,0.8041964077943253
PSO,Iter,iter=100,0,80.79346263266599,0.8041964077943253
PSO,Iter,iter=100,1,80.54754818253733,0.8041964077943253
PSO,Iter,iter=100,2,103.45380082122159,0.8041964077943253
PSO,Iter,iter=100,3,89.0951613759361,0.8041964077943253
PSO,Iter,iter=100,4,236.0831594550088,0.8041964077943253
PSO,Iter,iter=100,5,102.58394875397491,0.8041964077943253
PSO,Iter,iter=100,6,445.1023696768455,-1.0
PSO,Iter,iter=100,7,81.33095328148339,0.8041964077943253
PSO,Iter,iter=100,8,84.40758603390313,0.8041964077943253
PSO,Iter,iter=100,9,118.2015167758293,0.8041964077943253
PSO,Iter,iter=200,0,80.1226855266064,0.8041964077943253
PSO,Iter,iter=200,1,80.30656063013495,0.8041964077943253
PSO,Iter,iter=200,2,102.74451585828055,0.8041964077943253
PSO,Iter,iter=200,3,88.06708524962997,0.8041964077943253
PSO,Iter,iter=200,4,235.94044739393001,0.8041964077943253
PSO,Iter,iter=200,5,102.49925804771195,0.8041964077943253
PSO,Iter,iter=200,6,445.0972590168289,-1.0
PSO,Iter,iter=200,7,80.69830823416204,0.8041964077943253
PSO,Iter,iter=200,8,84.00299809713847,0.8041964077943253
PSO,Iter,iter=200,9,118.16198255516642,0.8041964077943253
DE,Iter,iter=50,0,487.0363715197421,0.8041964077943253
DE,Iter,iter=50,1,347.75404720144553,0.8041964077943253
DE,Iter,iter=50,2,530.2913188750881,0.8041964077943253
DE,Iter,iter=50,3,364.0685345084388,0.8041964077943253
DE,Iter,iter=50,4,508.54659261041286,0.8041964077943253
DE,Iter,iter=50,5,415.23280528265747,0.8041964077943253
DE,Iter,iter=50,6,463.82698030974404,0.8041964077943253
DE,Iter,iter=50,7,658.6381015205579,0.8041964077943253
DE,Iter,iter=50,8,566.3846090329782,0.8041964077943253
DE,Iter,iter=50,9,428.5768833511212,0.8041964077943253
DE,Iter,iter=100,0,249.59903680520574,0.8041964077943253
DE,Iter,iter=100,1,146.11363376962012,0.8041964077943253
DE,Iter,iter=100,2,313.46695923176696,0.8041964077943253
DE,Iter,iter=100,3,201.99875289598555,0.8041964077943253
DE,Iter,iter=100,4,315.21604890577646,0.8041964077943253
DE,Iter,iter=100,5,279.97613491637276,0.8041964077943253
DE,Iter,iter=100,6,274.4997492238632,0.8041964077943253
DE,Iter,iter=100,7,340.3218432391997,0.8041964077943253
DE,Iter,iter=100,8,279.56204980073323,0.8041964077943253
DE,Iter,iter=100,9,420.54341291295987,0.8041964077943253
DE,Iter,iter=200,0,119.27683063112522,0.8041964077943253
DE,Iter,iter=200,1,109.12821704015326,0.8041964077943253
DE,Iter,iter=200,2,192.82146427995394,0.8041964077943253
DE,Iter,iter=200,3,120.72223765856141,0.8041964077943253
DE,Iter,iter=200,4,186.56498747110965,0.8041964077943253
DE,Iter,iter=200,5,183.5482756281791,0.8041964077943253
DE,Iter,iter=200,6,138.27154205703073,0.8041964077943253
DE,Iter,iter=200,7,181.8940714033996,0.8041964077943253
DE,Iter,iter=200,8,178.98844837348216,0.8041964077943253
DE,Iter,iter=200,9,261.4032680337588,0.8041964077943253
ABC,Iter,iter=50,0,129.27501541249256,0.8041964077943253
ABC,Iter,iter=50,1,145.27160351364017,0.8041964077943253
ABC,Iter,iter=50,2,84.99335774368888,0.8041964077943253
ABC,Iter,iter=50,3,175.84428307957143,0.8041964077943253
ABC,Iter,iter=50,4,100.4528200538989,0.8041964077943253
ABC,Iter,iter=50,5,173.06138705416652,0.8041964077943253
ABC,Iter,iter=50,6,92.87428491745641,0.8041964077943253
ABC,Iter,iter=50,7,242.09861460835162,0.8041964077943253
ABC,Iter,iter=50,8,133.8807621464572,0.8041964077943253
ABC,Iter,iter=50,9,82.35055625032405,0.8041964077943253
ABC,Iter,iter=100,0,81.56955524017597,0.8041964077943253
ABC,Iter,iter=100,1,84.95126601145355,0.8041964077943253
ABC,Iter,iter=100,2,84.33857567396416,0.8041964077943253
ABC,Iter,iter=100,3,82.30164449454875,0.8041964077943253
ABC,Iter,iter=100,4,82.56485580830329,0.8041964077943253
ABC,Iter,iter=100,5,86.82287380296339,0.8041964077943253
ABC,Iter,iter=100,6,83.63884191255092,0.8041964077943253
ABC,Iter,iter=100,7,83.73908499521951,0.8041964077943253
ABC,Iter,iter=100,8,99.04009065627811,0.8041964077943253
ABC,Iter,iter=100,9,82.12496791261646,0.8041964077943253
ABC,Iter,iter=200,0,79.83558838234791,0.8041964077943253
ABC,Iter,iter=200,1,79.54122378965975,0.8041964077943253
ABC,Iter,iter=200,2,80.15529098212104,0.8041964077943253
ABC,Iter,iter=200,3,80.47845018243885,0.8041964077943253
ABC,Iter,iter=200,4,80.02600928323108,0.8041964077943253
ABC,Iter,iter=200,5,80.9944485612225,0.8041964077943253
ABC,Iter,iter=200,6,80.4269707110829,0.8041964077943253
ABC,Iter,iter=200,7,79.74158262605117,0.8041964077943253
ABC,Iter,iter=200,8,79.64389737372036,0.8041964077943253
ABC,Iter,iter=200,9,80.28437275078957,0.8041964077943253
ES,Iter,iter=50,0,156.14935394457643,0.8041964077943253
ES,Iter,iter=50,1,147.59973478440392,0.8041964077943253
ES,Iter,iter=50,2,152.7738886338955,0.8041964077943253
ES,Iter,iter=50,3,159.03166876709935,0.8041964077943253
ES,Iter,iter=50,4,135.15171678111548,0.8041964077943253
ES,Iter,iter=50,5,145.8936601398775,0.8041964077943253
ES,Iter,iter=50,6,179.38324862370698,0.8041964077943253
ES,Iter,iter=50,7,165.9714835765755,0.8041964077943253
ES,Iter,iter=50,8,170.05407349645157,0.8041964077943253
ES,Iter,iter=50,9,134.67132801213756,0.8041964077943253
ES,Iter,iter=100,0,149.36021979869685,0.8041964077943253
ES,Iter,iter=100,1,147.59973478440392,0.8041964077943253
ES,Iter,iter=100,2,152.7738886338955,0.8041964077943253
ES,Iter,iter=100,3,159.03166876709935,0.8041964077943253
ES,Iter,iter=100,4,135.15171678111548,0.8041964077943253
ES,Iter,iter=100,5,145.8936601398775,0.8041964077943253
ES,Iter,iter=100,6,164.27081643496638,0.8041964077943253
ES,Iter,iter=100,7,161.49143312454902,0.8041964077943253
ES,Iter,iter=100,8,154.42166554914462,0.8041964077943253
ES,Iter,iter=100,9,134.67132801213756,0.8041964077943253
ES,Iter,iter=200,0,139.23941885635594,0.8041964077943253
ES,Iter,iter=200,1,147.59973478440392,0.8041964077943253
ES,Iter,iter=200,2,139.22041492753772,0.8041964077943253
ES,Iter,iter=200,3,159.03166876709935,0.8041964077943253
ES,Iter,iter=200,4,135.15171678111548,0.8041964077943253
ES,Iter,iter=200,5,145.8936601398775,0.8041964077943253
ES,Iter,iter=200,6,149.76903678302529,0.8041964077943253
ES,Iter,iter=200,7,128.92815582883253,0.8041964077943253
ES,Iter,iter=200,8,139.95669989875708,0.8041964077943253
ES,Iter,iter=200,9,134.67132801213756,0.8041964077943253
GA,Specific,mut=0.01,0,83.69128342621855,0.8041964077943253
GA,Specific,mut=0.01,1,81.7074175915476,0.8041964077943253
GA,Specific,mut=0.01,2,80.84889459270289,0.8041964077943253
GA,Specific,mut=0.01,3,81.3994784131846,0.8041964077943253
GA,Specific,mut=0.01,4,81.72011809460835,0.8041964077943253
GA,Specific,mut=0.01,5,81.24069167179437,0.8041964077943253
GA,Specific,mut=0.01,6,80.73517295634446,0.8041964077943253
GA,Specific,mut=0.01,7,80.67524851114328,0.8041964077943253
GA,Specific,mut=0.01,8,79.9840031663602,0.8041964077943253
GA,Specific,mut=0.01,9,445.87592814217794,-1.0
GA,Specific,mut=0.2,0,95.55220325681913,0.8041964077943253
GA,Specific,mut=0.2,1,92.15781151519155,0.8041964077943253
GA,Specific,mut=0.2,2,86.6172081031126,0.8041964077943253
GA,Specific,mut=0.2,3,89.29293085493995,0.8041964077943253
GA,Specific,mut=0.2,4,93.22686475492655,0.8041964077943253
GA,Specific,mut=0.2,5,89.32420874227276,0.8041964077943253
GA,Specific,mut=0.2,6,92.45854455586644,0.8041964077943253
GA,Specific,mut=0.2,7,94.92012782696077,0.8041964077943253
GA,Specific,mut=0.2,8,90.89063602959334,0.8041964077943253
GA,Specific,mut=0.2,9,89.8017318197576,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",0,136.6213558548866,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",1,84.82532612958629,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",2,187.45400111868491,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",3,81.11034659603096,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",4,445.1792601560992,-1.0
PSO,Specific,"c1=1.0,c2=2.0",5,186.78809439912965,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",6,445.5006685933886,-1.0
PSO,Specific,"c1=1.0,c2=2.0",7,86.77611226573265,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",8,166.5766165394267,0.8041964077943253
PSO,Specific,"c1=1.0,c2=2.0",9,85.24576361722859,0.8041964077943253
PSO,Specific,"c1=2.0,c2=1.0",0,445.1000754842156,-1.0
PSO,Specific,"c1=2.0,c2=1.0",1,79.35556444508455,0.8041964077943253
PSO,Specific,"c1=2.0,c2=1.0",2,79.61877878739986,0.8041964077943253
PSO,Specific,"c1=2.0,c2=1.0",3,445.1316924809346,-1.0
PSO,Specific,"c1=2.0,c2=1.0",4,79.3115512583727,0.8041964077943253
PSO,Specific,"c1=2.0,c2=1.0",5,121.88240265671969,0.8041964077943253
PSO,Specific,"c1=2.0,c2=1.0",6,445.15494810768325,-1.0
PSO,Specific,"c1=2.0,c2=1.0",7,81.96842802392301,0.8041964077943253
PSO,Specific,"c1=2.0,c2=1.0",8,445.10016885946305,-1.0
PSO,Specific,"c1=2.0,c2=1.0",9,79.3297235771133,0.8041964077943253
PSO,Specific,w=0.5,0,122.96121532000238,0.8041964077943253
PSO,Specific,w=0.5,1,141.5481333883872,0.8041964077943253
PSO,Specific,w=0.5,2,87.07717334799463,0.8041964077943253
PSO,Specific,w=0.5,3,238.40642010544047,0.8041964077943253
PSO,Specific,w=0.5,4,127.428820568736,0.8041964077943253
PSO,Specific,w=0.5,5,99.53005103731488,0.8041964077943253
PSO,Specific,w=0.5,6,445.52164926641836,-1.0
PSO,Specific,w=0.5,7,113.81298259867076,0.8041964077943253
PSO,Specific,w=0.5,8,91.90739518302303,0.8041964077943253
PSO,Specific,w=0.5,9,150.31472942559824,0.8041964077943253
PSO,Specific,w=0.9,0,92.01084569890008,0.8041964077943253
PSO,Specific,w=0.9,1,231.14259015417093,0.8041964077943253
PSO,Specific,w=0.9,2,111.52560074586088,0.8041964077943253
PSO,Specific,w=0.9,3,203.7954379926989,0.8041964077943253
PSO,Specific,w=0.9,4,163.17862891098878,0.8041964077943253
PSO,Specific,w=0.9,5,119.44548188927662,0.8041964077943253
PSO,Specific,w=0.9,6,452.641052159659,-1.0
PSO,Specific,w=0.9,7,111.07096352324723,0.8041964077943253
PSO,Specific,w=0.9,8,449.9297626395776,-1.0
PSO,Specific,w=0.9,9,144.2356190542557,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",0,253.2036623572057,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",1,151.49786570994638,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",2,326.96997993349066,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",3,320.0565951527264,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",4,117.02734829636249,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",5,287.40686188297036,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",6,298.162939230838,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",7,270.57470316239375,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",8,174.64649468400458,0.8041964077943253
DE,Specific,"F=0.5,CR=0.5",9,322.51546779464513,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",0,315.367701792513,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",1,455.93943811275284,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",2,361.8415685369789,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",3,251.8443953196037,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",4,385.3097586251699,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",5,218.6107096125339,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",6,290.86433946261883,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",7,442.29455408639524,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",8,364.29560350257805,0.8041964077943253
DE,Specific,"F=0.9,CR=0.9",9,304.2958757519954,0.8041964077943253
